City:,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
nuuk,64.1835,-51.7216,36.21,93.0,100.0,31.07,GL,1651182314
golaghat,26.5167,93.9667,74.03,66.0,0.0,1.63,IN,1651182314
yarovoye,52.9273,78.58,59.14,50.0,100.0,10.29,RU,1651182314
ulladulla,-35.35,150.4667,61.7,83.0,1.0,6.87,AU,1651182315
new glasgow,45.5834,-62.6486,44.78,80.0,97.0,8.12,CA,1651182073
cabedelo,-6.9811,-34.8339,79.47,81.0,43.0,12.35,BR,1651182317
perth,-31.9333,115.8333,50.67,96.0,0.0,5.75,AU,1651182179
wanning,18.8003,110.3967,78.42,95.0,99.0,3.44,CN,1651182317
bubaque,11.2833,-15.8333,77.43,75.0,65.0,19.89,GW,1651182317
banepa,27.6298,85.5214,66.52,77.0,20.0,4.61,NP,1651182318
itoman,26.1247,127.6694,79.57,94.0,40.0,14.97,JP,1651182319
zholymbet,51.7433,71.7122,58.77,47.0,100.0,8.16,KZ,1651182319
pavilosta,56.8879,21.1859,42.71,88.0,99.0,9.84,LV,1651182319
taoudenni,22.6783,-3.9836,87.37,9.0,0.0,7.25,ML,1651182320
cap malheureux,-19.9842,57.6142,74.46,82.0,0.0,3.0,MU,1651182320
mitu,1.1983,-70.1733,77.65,93.0,89.0,1.81,CO,1651182321
canakkale,40.0833,26.8333,54.18,95.0,3.0,6.51,TR,1651182321
manavalakurichi,8.1333,77.3,82.27,83.0,95.0,7.16,IN,1651182322
saint-paul,-21.0096,55.2707,77.09,79.0,56.0,7.65,RE,1651182322
mongo,12.1844,18.693,82.78,53.0,76.0,8.46,TD,1651182322
timra,62.487,17.3257,31.68,69.0,9.0,4.61,SE,1651182323
mabaruma,8.2,-59.7833,78.3,82.0,99.0,5.82,GY,1651182323
sangar,63.9242,127.4739,15.94,87.0,65.0,2.01,RU,1651182324
beringovskiy,63.05,179.3167,21.56,94.0,89.0,12.68,RU,1651182324
huilong,31.8111,121.655,54.93,90.0,100.0,16.67,CN,1651182325
udankudi,8.4333,78.0167,83.95,76.0,93.0,10.69,IN,1651182325
brae,60.3964,-1.353,45.46,81.0,94.0,3.09,GB,1651182326
tiznit,29.5833,-9.5,58.78,71.0,34.0,8.86,MA,1651182327
bathsheba,13.2167,-59.5167,81.21,83.0,40.0,14.97,BB,1651182327
baykit,61.67,96.37,38.62,99.0,100.0,3.87,RU,1651182328
kunyang,27.6658,120.5658,65.14,95.0,100.0,4.9,CN,1651182328
maridi,4.9158,29.4742,68.88,80.0,100.0,5.17,SS,1651182329
olinala,17.8333,-98.85,89.73,21.0,11.0,2.8,MX,1651182329
hamilton,39.1834,-84.5333,64.31,46.0,75.0,11.5,US,1651182329
ngaoundere,7.3167,13.5833,66.29,85.0,100.0,0.63,CM,1651182330
dayong,25.0209,118.2898,73.2,93.0,7.0,1.1,CN,1651182330
topraisar,44.0167,28.45,54.16,77.0,52.0,3.98,RO,1651182331
mweka,-4.85,21.5667,69.49,97.0,96.0,2.42,CD,1651182331
glazov,58.1394,52.6584,26.89,87.0,70.0,5.19,RU,1651182332
morecambe,54.0684,-2.8611,48.22,88.0,90.0,5.99,GB,1651182332
ironton,38.5368,-82.6829,63.84,36.0,0.0,3.44,US,1651182332
buchanan,5.8808,-10.0467,79.99,85.0,87.0,7.85,LR,1651182333
conakry,9.538,-13.6773,80.04,83.0,51.0,10.69,GN,1651182333
muros,42.7762,-9.0603,57.09,79.0,62.0,10.0,ES,1651182334
leh,34.1667,77.5833,42.85,65.0,100.0,4.81,IN,1651182334
san fernando,15.0286,120.6898,80.33,82.0,100.0,4.76,PH,1651182082
zhangye,38.9342,100.4517,50.52,22.0,100.0,19.84,CN,1651182335
moron,-34.6534,-58.6198,58.75,28.0,0.0,4.54,AR,1651182335
pacific grove,36.6177,-121.9166,67.55,67.0,0.0,16.11,US,1651182336
adrar,20.5022,-10.0711,78.24,11.0,0.0,7.49,MR,1651182336
yerbogachen,61.2767,108.0108,29.64,89.0,83.0,5.57,RU,1651182336
norman wells,65.282,-126.8329,39.24,56.0,75.0,9.22,CA,1651182337
ochakiv,46.6128,31.5498,53.78,71.0,100.0,15.73,UA,1651182337
rorvik,64.8621,11.2373,35.58,86.0,75.0,1.14,NO,1651182338
nsanje,-16.92,35.262,64.76,98.0,22.0,3.15,MW,1651182338
kupang,-10.1667,123.5833,76.03,87.0,39.0,6.33,ID,1651182338
yuyao,30.05,121.1494,59.77,96.0,100.0,9.64,CN,1651182339
gorele,41.0308,39.0031,54.34,91.0,89.0,6.24,TR,1651182339
necochea,-38.5473,-58.7368,51.76,55.0,89.0,16.06,AR,1651182340
kirkenaer,60.4564,12.0582,35.82,65.0,82.0,2.48,NO,1651182340
shahrud,36.4182,54.9763,64.09,55.0,79.0,6.55,IR,1651182341
ixtapa,20.7,-105.2,91.09,35.0,39.0,7.58,MX,1651182341
neuquen,-38.9516,-68.0591,53.49,47.0,0.0,2.3,AR,1651182341
fougamou,-1.2154,10.5838,74.37,97.0,98.0,1.86,GA,1651182342
jiuquan,39.7432,98.5174,47.95,23.0,100.0,11.79,CN,1651182342
venice,27.0998,-82.4543,85.98,74.0,20.0,12.66,US,1651182088
kanniyakumari,8.0833,77.5667,83.5,80.0,79.0,10.98,IN,1651182343
montepuez,-13.1256,38.9997,64.0,89.0,14.0,8.3,MZ,1651182343
hammerfest,70.6634,23.6821,25.25,86.0,75.0,2.3,NO,1651182344
san ramon,37.7799,-121.978,67.75,54.0,20.0,18.41,US,1651182344
shu,43.5983,73.7614,53.83,38.0,68.0,2.71,KZ,1651182344
ternate,0.8,127.4,80.46,78.0,95.0,2.17,ID,1651182345
yanji,42.9075,129.5078,45.97,38.0,100.0,1.81,CN,1651182345
mulchen,-37.7167,-72.2333,57.06,68.0,18.0,7.4,CL,1651182346
aksu,41.1231,80.2644,54.48,50.0,2.0,8.84,CN,1651182346
salihli,38.4826,28.1477,61.32,74.0,100.0,3.2,TR,1651182347
charters towers,-20.1,146.2667,70.48,80.0,39.0,7.7,AU,1651182347
nouadhibou,20.931,-17.0347,64.38,82.0,5.0,17.27,MR,1651182348
buraydah,26.326,43.975,72.05,53.0,36.0,8.23,SA,1651182348
lhokseumawe,5.1801,97.1507,79.9,85.0,100.0,5.97,ID,1651182348
berlevag,70.8578,29.0864,24.75,63.0,75.0,29.93,NO,1651182349
geraldton,-28.7667,114.6,54.01,94.0,0.0,9.22,AU,1651182349
pontes e lacerda,-15.2261,-59.3353,80.46,57.0,29.0,3.29,BR,1651182095
ferrol,43.4832,-8.2369,57.27,83.0,7.0,8.99,ES,1651182350
jawhar,2.7809,45.5005,81.0,75.0,79.0,8.37,SO,1651182350
maceio,-9.6658,-35.7353,80.04,78.0,75.0,6.91,BR,1651182120
khash,28.2211,61.2158,69.33,40.0,7.0,3.76,IR,1651182352
la canada,20.6167,-100.3167,81.82,22.0,48.0,7.81,MX,1651182352
honningsvag,70.9821,25.9704,24.55,80.0,75.0,16.11,NO,1651182353
monrovia,6.3005,-10.7969,80.17,83.0,55.0,7.74,LR,1651182353
along,28.1667,94.7667,65.53,88.0,79.0,2.1,IN,1651182353
camacha,33.0833,-16.3333,58.42,77.0,20.0,4.61,PT,1651182354
polovinnoye,54.7914,65.9864,61.72,42.0,77.0,13.09,RU,1651182354
port-cartier,50.0334,-66.8654,38.75,75.0,100.0,15.79,CA,1651182355
gidole,5.65,37.3667,56.41,88.0,98.0,2.01,ET,1651182355
nemuro,43.3236,145.575,41.02,66.0,100.0,11.34,JP,1651182355
teguldet,57.3064,88.1667,49.78,80.0,100.0,10.51,RU,1651182356
gazojak,41.1875,61.4036,70.03,56.0,70.0,7.52,TM,1651182356
ziarat,30.3823,67.7282,62.49,23.0,84.0,7.38,PK,1651182357
porteirinha,-15.7433,-43.0283,74.77,40.0,1.0,7.7,BR,1651182357
beloha,-25.1667,45.05,64.72,69.0,55.0,9.6,MG,1651182358
huercal-overa,37.389,-1.9454,58.23,72.0,91.0,4.05,ES,1651182358
bitung,1.4451,125.1824,74.25,85.0,98.0,1.81,ID,1651182358
gold coast,-28.0,153.4333,71.24,97.0,55.0,3.44,AU,1651182359
northam,51.0333,-4.2167,49.66,80.0,95.0,6.49,GB,1651182359
chandpur,29.15,78.2667,83.79,14.0,4.0,4.63,IN,1651182360
lugazi,0.3772,32.9197,62.96,99.0,100.0,1.52,UG,1651182360
salinopolis,-0.6136,-47.3561,78.67,87.0,95.0,10.92,BR,1651182361
carahue,-38.7,-73.1667,47.12,80.0,17.0,2.71,CL,1651182361
hirado,33.3597,129.5531,60.39,96.0,100.0,29.93,JP,1651182362
grandview,38.8858,-94.533,73.08,68.0,0.0,19.57,US,1651182362
korocha,50.8107,37.1953,48.92,75.0,43.0,5.5,RU,1651182363
ahuimanu,21.4447,-157.8378,85.71,63.0,20.0,18.41,US,1651182363
ucluelet,48.9329,-125.5528,53.1,78.0,100.0,1.99,CA,1651182364
filadelfia,39.9523,-75.1638,59.0,19.0,0.0,25.32,US,1651182259
xudat,41.631,48.681,59.74,73.0,56.0,3.69,AZ,1651182364
impfondo,1.6381,18.0667,71.26,96.0,100.0,2.51,CG,1651182365
nicoya,10.1483,-85.452,86.7,59.0,99.0,4.92,CR,1651182365
nhulunbuy,-12.2333,136.7667,77.61,88.0,100.0,0.0,AU,1651182366
tarakan,3.3,117.6333,78.3,83.0,75.0,17.27,ID,1651182366
herborn,50.6833,8.3167,51.21,71.0,46.0,4.61,DE,1651182367
wadi musa,30.3222,35.4793,62.55,31.0,0.0,2.3,JO,1651182367
shibetsu,43.659,145.132,45.14,45.0,100.0,10.0,JP,1651182368
ambilobe,-13.2,49.05,72.46,96.0,38.0,3.02,MG,1651182368
busayra,30.7376,35.6078,62.56,32.0,0.0,2.15,JO,1651182369
okhotsk,59.3833,143.3,28.42,70.0,100.0,18.63,RU,1651182369
termiz,37.2242,67.2783,75.29,41.0,40.0,2.3,UZ,1651182370
kuusamo,65.9667,29.1833,23.04,54.0,0.0,3.44,FI,1651182370
nishihara,26.1842,127.7558,78.85,94.0,75.0,14.97,JP,1651182370
kinablangan,7.6947,126.5503,76.98,86.0,100.0,4.5,PH,1651182371
arroyo,41.6096,-4.7969,54.14,83.0,0.0,8.05,ES,1651182371
kasese,0.1833,30.0833,68.18,97.0,98.0,2.93,UG,1651182372
tsumeb,-19.2333,17.7167,66.34,55.0,48.0,7.74,NA,1651182372
simoes,-7.5989,-40.8178,77.88,48.0,74.0,8.23,BR,1651182373
shenjiamen,29.9576,122.298,55.96,92.0,100.0,21.03,CN,1651182373
ternova,50.1849,36.6757,47.88,70.0,88.0,5.93,UA,1651182374
the valley,18.217,-63.0578,80.46,57.0,20.0,14.97,AI,1651182374
lapithos,35.3375,33.1792,61.09,63.0,0.0,6.4,CY,1651182375
buctzotz,21.2,-88.7833,86.04,51.0,73.0,9.95,MX,1651182375
praia da vitoria,38.7333,-27.0667,61.75,100.0,75.0,19.3,PT,1651182376
jaciara,-15.9653,-54.9683,78.78,52.0,84.0,1.19,BR,1651182376
salvador,13.8333,-88.9167,86.04,55.0,63.0,4.45,SV,1651182376
vyazma,55.2104,34.2951,31.41,70.0,17.0,3.6,RU,1651182377
tyazhinskiy,56.116,88.524,54.54,51.0,100.0,14.34,RU,1651182377
rawson,-43.3002,-65.1023,48.92,32.0,65.0,9.95,AR,1651182378
marquette,46.5333,-87.6335,51.78,46.0,36.0,8.03,US,1651182378
bonavista,48.6499,-53.1147,37.94,86.0,100.0,7.49,CA,1651182379
maniitsoq,65.4167,-52.9,31.57,99.0,100.0,8.61,GL,1651182379
rio brilhante,-21.8019,-54.5464,83.1,39.0,89.0,3.67,BR,1651182380
foca,38.6703,26.7566,67.87,69.0,54.0,11.7,TR,1651182380
anloga,5.7947,0.8973,80.08,73.0,79.0,0.94,GH,1651182381
tjome,59.1109,10.3933,48.43,46.0,0.0,8.05,NO,1651182381
charlestown,-32.95,151.6667,66.72,97.0,45.0,1.99,AU,1651182382
whyalla,-33.0333,137.5833,62.49,82.0,100.0,3.44,AU,1651182382
ilulissat,69.2167,-51.1,26.62,93.0,75.0,4.61,GL,1651182254
buala,-8.145,159.5921,83.17,77.0,93.0,5.23,SB,1651182383
scarborough,54.2797,-0.4044,40.78,86.0,100.0,3.0,GB,1651182383
rodrigues alves,-7.738,-72.6509,80.8,92.0,97.0,1.59,BR,1651182384
berezovka,53.7214,25.4993,36.43,65.0,28.0,2.73,BY,1651182384
saint-pierre,-21.3393,55.4781,74.91,74.0,20.0,6.91,RE,1651182385
banjar,-8.19,114.9675,77.74,91.0,89.0,4.43,ID,1651182385
gelemso,8.8167,40.5167,62.62,75.0,33.0,7.18,ET,1651182386
gigmoto,13.7796,124.39,79.5,88.0,74.0,8.12,PH,1651182386
ostrovnoy,68.0531,39.5131,20.98,78.0,100.0,22.35,RU,1651182387
yenagoa,4.9247,6.2642,77.05,92.0,99.0,3.2,NG,1651182387
fortuna,40.5982,-124.1573,61.93,59.0,20.0,12.66,US,1651182145
tranas,58.0372,14.9782,33.39,54.0,62.0,2.01,SE,1651182388
morehead,37.2711,-87.1764,75.78,27.0,0.0,3.44,US,1651182388
tubuala,9.5167,-79.0333,78.33,89.0,100.0,4.23,PA,1651182388
komsomolskiy,40.4272,71.7189,61.52,67.0,97.0,9.22,UZ,1651182389
seydi,39.4816,62.9137,74.37,27.0,6.0,10.31,TM,1651182390
karema,-6.8205,30.4389,69.22,89.0,50.0,6.85,TZ,1651182390
kaeo,-35.1,173.7833,60.33,98.0,7.0,10.74,NZ,1651182390
kande,9.9578,1.0447,77.34,57.0,99.0,2.19,TG,1651182391
jiangyou,31.7667,104.7167,64.76,75.0,100.0,2.53,CN,1651182391
havelock,34.8791,-76.9013,69.75,29.0,0.0,11.5,US,1651182158
ayan,56.45,138.1667,32.7,69.0,100.0,11.36,RU,1651182392
guarapari,-20.6667,-40.4975,78.89,85.0,0.0,8.81,BR,1651182392
paragominas,-2.9667,-47.4833,74.05,97.0,100.0,3.49,BR,1651182393
kendari,-3.945,122.4989,74.8,95.0,88.0,2.93,ID,1651182393
victor harbor,-35.5667,138.6167,63.68,85.0,100.0,8.88,AU,1651182394
murchison,-41.8,172.3333,58.8,67.0,51.0,0.85,NZ,1651182394
muscat,23.6139,58.5922,87.82,46.0,7.0,5.75,OM,1651182160
concepcion del oro,24.6333,-101.4167,77.54,16.0,43.0,6.69,MX,1651182395
el dorado,38.7666,-120.5177,59.41,43.0,1.0,3.0,US,1651182395
kisanga,-7.4362,37.7034,70.74,95.0,29.0,3.96,TZ,1651182396
balilihan,9.7561,123.973,76.01,93.0,99.0,4.79,PH,1651182396
gorontalo,0.5412,123.0595,75.74,89.0,98.0,1.88,ID,1651182397
kudahuvadhoo,2.6708,72.8944,84.15,73.0,76.0,8.25,MV,1651182397
klaksvik,62.2266,-6.589,43.72,82.0,12.0,4.03,FO,1651182398
cayambe,0.05,-78.1333,54.66,92.0,100.0,3.47,EC,1651182398
itambacuri,-18.0311,-41.685,73.17,83.0,96.0,2.64,BR,1651182398
iisalmi,63.5592,27.1907,23.5,95.0,80.0,4.54,FI,1651182399
mayo,38.8876,-76.5119,60.94,30.0,0.0,12.66,US,1651182240
samut songkhram,13.4,99.9583,80.98,84.0,100.0,5.1,TH,1651182399
lata,40.1629,-8.3327,52.77,86.0,42.0,2.19,PT,1651182400
salalah,17.0151,54.0924,84.29,79.0,75.0,5.75,OM,1651182266
surok,56.4469,48.1214,28.92,73.0,65.0,3.83,RU,1651182400
ossora,59.2353,163.0719,31.84,98.0,100.0,18.95,RU,1651182401
byron bay,-28.65,153.6167,67.89,86.0,79.0,2.73,AU,1651182151
itajuba,-22.4256,-45.4528,73.35,74.0,0.0,1.83,BR,1651182401
korla,41.7597,86.1469,50.79,57.0,88.0,6.38,CN,1651182402
takapau,-40.0333,176.35,54.73,68.0,74.0,3.29,NZ,1651182402
creel,27.75,-107.6333,70.9,11.0,0.0,20.51,MX,1651182403
natal,-5.795,-35.2094,82.62,83.0,75.0,11.5,BR,1651182262
waverly,42.7392,-84.6208,55.33,30.0,0.0,9.22,US,1651182404
henties bay,-22.116,14.2845,64.71,66.0,4.0,1.77,NA,1651182404
birobidzhan,48.8,132.95,41.7,48.0,25.0,6.38,RU,1651182404
zaigrayevo,51.8336,108.2703,26.64,70.0,0.0,4.0,RU,1651182405
acapulco,16.8634,-99.8901,87.26,52.0,4.0,12.82,MX,1651182277
ambon,-3.6954,128.1814,75.34,100.0,40.0,0.0,ID,1651182405
banda aceh,5.5577,95.3222,80.73,81.0,82.0,6.6,ID,1651182406
topchanchi,23.9,86.2,81.54,60.0,0.0,5.08,IN,1651182406
disna,55.568,28.1971,34.63,62.0,40.0,5.86,BY,1651182407
mapiripan,2.8892,-72.1256,79.48,87.0,98.0,2.39,CO,1651182407
port hawkesbury,45.6169,-61.3485,44.96,93.0,100.0,11.5,CA,1651182408
akyab,20.15,92.9,80.04,87.0,23.0,5.23,MM,1651182408
haines junction,60.7522,-137.5108,42.75,70.0,100.0,3.44,CA,1651182408
suntar,62.1444,117.6319,29.98,88.0,100.0,3.18,RU,1651182409
kargopol,61.5071,38.9456,23.43,97.0,40.0,4.0,RU,1651182409
bahir dar,11.5936,37.3908,71.4,23.0,1.0,4.79,ET,1651182410
kyzyl-suu,42.3414,78.0056,43.72,35.0,0.0,9.1,KG,1651182410
obo,5.3998,26.4869,67.86,96.0,100.0,4.54,CF,1651182411
nizwa,22.9333,57.5333,82.63,41.0,46.0,2.33,OM,1651182411
pashiya,58.4324,58.2562,29.1,84.0,93.0,9.71,RU,1651182411
coahuayana,18.7333,-103.6833,88.79,44.0,0.0,6.76,MX,1651182412
sinnamary,5.3833,-52.95,78.75,84.0,60.0,10.85,GF,1651182412
wuwei,37.9281,102.6414,51.22,53.0,100.0,9.31,CN,1651182413
yaan,7.3833,8.5667,78.84,69.0,62.0,5.21,NG,1651182413
mumbwa,-14.9783,27.0619,57.6,86.0,5.0,3.91,ZM,1651182414
dunedin,-45.8742,170.5036,52.0,78.0,1.0,2.21,NZ,1651182414
huarmey,-10.0681,-78.1522,70.3,81.0,97.0,8.9,PE,1651182414
san cristobal,7.7669,-72.225,75.38,75.0,87.0,0.96,VE,1651182415
anadyr,64.75,177.4833,28.9,80.0,0.0,4.47,RU,1651182415
honiara,-9.4333,159.95,83.07,73.0,96.0,3.29,SB,1651182416
niquelandia,-14.4739,-48.4597,77.83,50.0,17.0,3.33,BR,1651182416
